"Item","Link"
"3D printer","https://bambulab.com/en-us/a1-mini"
"Filament","https://us.store.bambulab.com/products/pla-matte"
"SG90 Servo Motor","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1Njc4MDc5MTI3MDQ2NzUzOjE3ODc1MDk3MTc6c3BfYXRmOjMwMDE2Nzc2NDUxNDcwMjo6MDo6&url=%2FWWZMDiB-SG90-Control-Servos-Arduino%2Fdp%2FB0BKPL2Y21%2Fref%3Dsr_1_1_sspa%3Fcrid%3D8UH53ITKD4F4%26dib%3DeyJ2IjoiMSJ9.Z8zXoZs9nMkNwqQN2AI2Foh6QgtOTVCoQq1FM-59sTdGWpUnMLyzUX5KaXqQ_bFJePIhM8WN1l89j5do8D63QYoKTV4sBOOgw7Z6pRBDfzbfCoM9Im76WIK4roD1ZtKEoTk8_yKhzq8ZX_UEtoDK9lfAggUjpVFJmDKIC2WK8CBT05hwHMO7mBfFXlUULVTTQHs6aEXzo4ehdEIbDhYLIVu7_LhYcXVfTloDYjyUWokeg9dVFLVD3Mw8TTuPw-vlwVZ0dpWhEKUyC5u0C1QD0dfJ7hWrbTa_7UkdUveVmBQ.Wh7Tb_W96zuv38T8Yozsx7guEQdWNAFHlv401HvmA4s%26dib_tag%3Dse%26keywords%3Dsg90%2Bservo%26qid%3D1787509717%26sprefix%3Dsg90%2Bserv%252Caps%252C252%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1"
"ARDUINO R4 Minima","https://www.amazon.com/Arduino-UNO-Minima-ABX00080-Connector/dp/B0C78K4CD4/ref=sr_1_1?crid=28HUG06IZMPGW&dib=eyJ2IjoiMSJ9.ZDEv7kkTJPKlskis8KpMvDzOzJp9hCokUGgAVqQvp6Ig1ASKwYERkVKQimgUfWQgfdB_LGDLumtpwc16sQfcZAcgfCH0PDbs6uiEZiDevekom_Li5zB-JR4MqE5PisYGD4dRxP7_D_c339kC6DzzBVYm4ITvXg1RMule-4p9cgL6wUISbbySj2fPcwNMkY7u.sjqIxLayEqNxqkM_RnRKG3fSfqocIMk8PtCbgOpFbOE&dib_tag=se&keywords=%22ARDUINO+R4+Minima%22&qid=1787509743&sprefix=%2Caps%2C288&sr=8-1"
"Breadboard","https://www.amazon.com/Breadboards-Solderless-Breadboard-Distribution-Connecting/dp/B07DL13RZH/ref=sr_1_4?crid=2ZIZ4NECN1TSU&dib=eyJ2IjoiMSJ9.qSRroSxKFdd8V4RwgnQiFNjAI5d3XEMacJoxtotF_TTP5FpXgh8fFRj8maeWyiEb2jqi8m-nVzrkQfYzFNrUFcyz22njIsupP2N0DM2YcJAQy59crJnN5nwti1uTDnNmuuw1VUGPCYvsYb5nqVfTFdLBKfqYEnCUm0g-zcvHcBnlh2aENUYniHzBEwvvOZ5Pqno3gODqwDlZxSv0QUfWNbvRwc2G75m7XafZ52Ihdo4.PduY1boC7EEmW8irivI9GKxMHF-QkMLeOJIErksSMog&dib_tag=se&keywords=breadboard&qid=1787509759&sprefix=vreadbaor%2Caps%2C242&sr=8-4"
"Jumper Wires","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDA4NDU2MjU4NzEyMzk3OjE3ODc1MDk3ODg6c3BfYXRmOjIwMDAyMDU3OTQ5MjExMTo6MDo6&url=%2FEDGELEC-Breadboard-Optional-Assorted-Multicolored%2Fdp%2FB07GD2BWPY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3N8RTZTOI5MRF%26dib%3DeyJ2IjoiMSJ9.QGbaFF62mgZ1Tf0J7CajkBnivKMOTOpZJUS1O07RvMRtud7zH1WTct_ybGV80f4QUgPu7aikgGsPa4DLJFmjB1djCA-NHXzt44TNyIcRr02oPChBzPvJgMl9xR5Ksisedo-3MC7ydHEdGJIxv8MFnknT8vrUDl5ccK_gkHPwOMbIP-K5rU9sUcaHpe6QrLLXlJ7y_sfViXizzjSlMtCxI4Zlp3zRPH0kknnini0txkA.0kocZ01dme49hUbHz-76CKXT2w-fMqpYPM3JiCs1mGE%26dib_tag%3Dse%26keywords%3Djumper%2Bwires%26qid%3D1787509788%26sprefix%3Djumper%2Bwir%252Caps%252C262%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1"
